Rotation,Torque
-61.4826,-0.3793
-61.5833,-0.3822
-61.6837,-0.3848
-61.7843,-0.3876
-61.8847,-0.3902
-61.9852,-0.393
-62.0853,-0.3956
-62.1858,-0.3983
-62.2864,-0.4011
-62.387,-0.4037
-62.4874,-0.4064
-62.5874,-0.4091
-62.6876,-0.4118
-62.7878,-0.4144
-62.8883,-0.417
-62.989,-0.4198
-63.0891,-0.4224
-63.1898,-0.425
-63.2901,-0.4276
-63.3909,-0.4303
-63.4913,-0.4329
-63.5922,-0.4355
-63.6926,-0.4381
-63.7926,-0.4408
-63.8932,-0.4434
-63.9933,-0.4459
-64.0941,-0.4485
-64.1946,-0.4512
-64.2957,-0.4537
-64.3959,-0.4563
-64.4967,-0.4591
-64.5977,-0.4617
-64.6987,-0.4643
-64.7989,-0.4669
-64.899,-0.4695
-64.9997,-0.4719
-65.0097,-0.4713
