Rotation,Torque
17.5474,0.0131
17.6476,0.0133
17.748,0.0133
17.8485,0.0133
17.9487,0.0135
18.0491,0.0138
18.1496,0.0136
18.2496,0.0139
18.35,0.0141
18.4503,0.0141
18.5508,0.0144
18.6513,0.0145
18.7515,0.0146
18.8518,0.0149
18.9522,0.0149
19.0524,0.015
19.1529,0.0151
19.253,0.0151
19.3532,0.0148
19.4536,0.0151
19.554,0.0154
19.6543,0.0155
19.7546,0.0157
19.8549,0.0158
19.9551,0.016
20.0025,0.0161
0.2083,0.0057
0.3086,0.0058
0.4088,0.006
0.5092,0.005
0.6093,0.0053
0.7094,0.0056
0.8095,0.0058
0.91,0.0058
1.0104,0.0059
1.1106,0.005
1.2107,0.0054
1.311,0.0056
1.4114,0.0058
1.5117,0.0059
1.6118,0.006
1.712,0.006
1.8121,0.006
1.9126,0.0057
2.0131,0.006
2.1132,0.0062
2.2135,0.0063
2.3136,0.0064
2.4139,0.0065
2.5143,0.0054
2.6144,0.0058
2.7146,0.0061
2.8147,0.0062
2.9152,0.0064
3.0153,0.0065
3.1155,0.0057
3.2156,0.0058
3.316,0.0062
3.4162,0.0064
3.5164,0.0063
3.6167,0.0064
3.7171,0.0065
3.8175,0.0065
3.918,0.0067
4.0184,0.0069
4.1184,0.0059
4.2185,0.0063
4.3186,0.0065
4.4188,0.0067
4.5189,0.0069
4.619,0.007
4.7193,0.0058
4.8195,0.0061
4.9198,0.0065
5.0203,0.0067
5.1206,0.0068
5.2207,0.0069
5.3207,0.007
5.4211,0.0072
5.5215,0.0061
5.6215,0.0065
5.7217,0.0068
5.8221,0.007
5.9223,0.0065
6.0224,0.0069
6.1229,0.0068
6.2233,0.0067
6.3234,0.007
6.4235,0.0072
6.5236,0.0067
6.6238,0.0069
6.7242,0.0072
6.8242,0.0075
6.9247,0.0076
7.0247,0.0078
7.125,0.0061
7.2251,0.0066
7.3256,0.007
7.4256,0.0073
7.5259,0.0076
7.6259,0.0072
7.7261,0.0075
7.8263,0.0076
7.9265,0.0079
8.0267,0.0079
8.1271,0.0072
8.2272,0.0073
8.3276,0.0076
8.4277,0.0078
8.5279,0.0079
8.628,0.007
8.7285,0.0074
8.8285,0.0076
8.9287,0.0078
9.0288,0.008
9.1292,0.0073
9.2297,0.0076
9.3299,0.0079
9.4303,0.0081
9.5304,0.0083
9.6305,0.0085
9.7306,0.0084
9.831,0.0086
9.9314,0.0079
10.0315,0.0083
10.1317,0.0084
10.2321,0.0083
10.3322,0.0086
10.4322,0.0088
10.5325,0.0089
10.6328,0.0076
10.7333,0.008
10.8335,0.0083
10.9335,0.0086
11.0338,0.0088
11.1341,0.0089
11.2345,0.008
11.3347,0.0083
11.435,0.0087
11.5354,0.0089
11.6356,0.0091
11.736,0.0087
11.8363,0.009
11.9367,0.0092
12.037,0.0092
12.1371,0.0093
12.2373,0.0095
12.3375,0.0085
12.4378,0.009
12.5382,0.0093
12.6385,0.0095
12.7388,0.0097
12.8389,0.0091
12.939,0.0095
13.0392,0.0097
13.1392,0.0098
13.2393,0.0099
13.3396,0.0099
13.44,0.0101
13.5401,0.0103
13.6405,0.0104
13.7406,0.0099
13.8407,0.0102
13.9411,0.0104
14.0414,0.0106
14.1416,0.0107
14.2419,0.0109
14.3421,0.01
14.4425,0.0104
14.5429,0.0107
14.6431,0.011
14.7434,0.0112
14.8437,0.0099
14.944,0.0104
15.0444,0.0108
15.1445,0.0111
15.2447,0.0113
15.3451,0.0113
15.4455,0.0116
15.5458,0.0116
15.6459,0.0111
15.7459,0.0114
15.8459,0.0117
15.9463,0.0117
16.0465,0.0119
16.1466,0.0117
16.2468,0.0117
16.3469,0.0119
16.4469,0.012
16.5472,0.0122
16.6473,0.0124
16.7477,0.0122
16.8478,0.0124
16.9481,0.0126
17.0484,0.0128
17.1487,0.0127
17.2488,0.0129
17.3492,0.0131
17.4497,0.0133
17.55,0.0132
17.6501,0.0135
17.7501,0.0136
17.8504,0.0138
17.9508,0.014
18.0509,0.0142
18.1513,0.0132
18.2516,0.0133
18.3519,0.0137
18.4522,0.014
18.5525,0.0143
18.6528,0.0145
18.753,0.0146
18.8535,0.0146
18.9539,0.0149
19.0542,0.015
19.1547,0.0152
19.2548,0.0147
19.3549,0.0149
19.4553,0.0153
19.5557,0.0155
19.6558,0.0157
19.7562,0.0158
19.8567,0.016
19.9569,0.0163
20.0025,0.0164
