Time,Force,Rotation,Torque
(s),(mN),(deg),(N-mm)
13.95,1238.5046,27.8851,-31.6569
14,1232.7251,27.985,-31.6758
14.05,1247.1025,28.085,-31.8712
14.1,1232.7819,28.1853,-31.983
14.15,1235.6924,28.2852,-32.0375
14.2,1235.1842,28.385,-32.24
14.25,1227.6876,28.485,-32.3507
14.3,1239.3652,28.5853,-32.4671
14.35,1226.0851,28.685,-32.5765
14.4,1223.5968,28.7847,-32.7657
14.45,1234.9912,28.8851,-32.8872
14.5,1224.6765,28.9847,-33.0326
14.55,1231.8537,29.0852,-33.1526
14.6,1226.5198,29.1851,-33.3076
14.65,1222.8113,29.2851,-33.4189
14.7,1237.4278,29.3855,-33.4405
14.75,1223.7539,29.4854,-33.6167
14.8,1224.4939,29.5851,-33.7078
14.85,1231.9914,29.6851,-33.9376
14.9,1222.4711,29.7851,-33.9321
14.95,1227.0201,29.885,-34.1374
14.983,1212.4387,29.9511,-34.2378
14.984,1212.527,29.9531,-34.2352
39.345,1388.8279,0.3645,-2.2518
39.395,1399.0955,0.3657,-2.2651
39.445,1390.7204,0.4422,-2.3955
39.495,1393.9973,0.5455,-2.5191
39.545,1391.645,0.6457,-2.5855
39.595,1386.2822,0.7453,-2.7537
39.645,1396.3478,0.8453,-2.895
39.695,1386.3591,0.9454,-2.9777
39.745,1386.3627,1.0453,-3.0551
39.795,1390.9889,1.1453,-3.14
39.845,1383.4652,1.2452,-3.2157
39.895,1389.8969,1.3452,-3.4137
39.945,1385.4325,1.4452,-3.4538
39.995,1379.2019,1.5453,-3.5886
40.045,1390.8391,1.6452,-3.6893
40.095,1380.2782,1.7451,-3.8278
40.145,1382.9678,1.845,-3.9656
40.195,1384.207,1.9451,-4.1298
40.245,1372.6801,2.0451,-4.1676
40.295,1385.5071,2.1453,-4.2336
40.345,1376.4813,2.2449,-4.3432
40.395,1376.8196,2.3452,-4.4032
40.445,1387.0628,2.4455,-4.5482
40.495,1374.836,2.545,-4.6859
40.545,1385.3636,2.645,-4.6876
40.595,1377.108,2.7451,-4.8919
40.645,1371.5655,2.845,-4.9765
40.695,1384.1679,2.9448,-5.0905
40.745,1370.3473,3.0453,-5.1885
40.795,1379.6062,3.1448,-5.3184
40.845,1375.0293,3.2453,-5.4521
40.895,1369.4735,3.3448,-5.5944
40.945,1386.6264,3.4451,-5.7051
40.995,1367.0428,3.5445,-5.8199
41.045,1373.7787,3.6448,-5.9217
41.095,1379.9809,3.7447,-5.9765
41.145,1367.4586,3.8448,-6.2138
41.195,1378.6412,3.9449,-6.1783
41.245,1370.1184,4.0448,-6.2598
41.295,1364.3767,4.1449,-6.4211
41.345,1379.7274,4.2454,-6.5231
41.395,1362.5963,4.345,-6.668
41.445,1372.7638,4.4452,-6.8034
41.495,1372.2597,4.5445,-6.8691
41.545,1362.7185,4.6449,-7.0387
41.595,1377.3556,4.7451,-7.1165
41.645,1363.7638,4.8449,-7.2968
41.695,1363.1568,4.9448,-7.3031
41.745,1369.0873,5.0445,-7.4279
41.795,1359.57,5.1445,-7.5753
41.845,1369.9267,5.2447,-7.6796
41.895,1354.2504,5.3445,-7.7172
41.945,1357.4516,5.4444,-7.8297
41.995,1367.4927,5.5446,-7.937
42.045,1352.51,5.6446,-8.0637
42.095,1357.2038,5.7446,-8.1911
42.145,1358.4535,5.8445,-8.2786
42.195,1347.0018,5.9448,-8.2673
42.245,1356.6046,6.045,-8.3785
42.295,1345.0677,6.1446,-8.4763
42.345,1347.1091,6.2442,-8.5693
42.395,1343.7157,6.3446,-8.6401
42.445,1337.7126,6.4445,-8.7289
42.495,1347.7628,6.5445,-8.9251
42.545,1332.8477,6.6445,-8.9311
42.595,1338.163,6.7445,-8.9775
42.645,1339.106,6.8444,-9.1368
42.695,1326.0072,6.9446,-9.1914
42.745,1338.0886,7.0445,-9.3129
42.795,1329.1643,7.144,-9.4935
42.845,1327.632,7.2445,-9.5787
42.895,1335.3871,7.3445,-9.5015
42.945,1322.0534,7.4444,-9.697
42.995,1334.169,7.5447,-9.8138
43.045,1327.3981,7.6445,-9.7842
43.095,1320.7865,7.7446,-9.8442
43.145,1330.9083,7.845,-9.9927
43.195,1313.0606,7.9444,-10.1461
43.245,1322.8182,8.0443,-10.1933
43.295,1325.7705,8.1447,-10.3665
43.345,1312.0865,8.2444,-10.3648
43.395,1327.7612,8.3447,-10.392
43.445,1314.7217,8.4444,-10.6527
43.495,1314.382,8.5445,-10.6532
43.545,1319.9707,8.6445,-10.7451
43.595,1310.6567,8.7444,-10.7512
43.645,1316.386,8.8444,-10.8963
43.695,1309.7101,8.9442,-11.015
43.745,1308.2128,9.0442,-11.0317
43.795,1314.8667,9.1444,-11.0645
43.845,1307.332,9.2441,-11.2789
43.895,1313.1381,9.3446,-11.3749
43.945,1307.8847,9.4443,-11.3383
43.995,1298.5343,9.5445,-11.4384
44.045,1315.5447,9.6447,-11.487
44.095,1295.3286,9.7443,-11.7105
44.145,1305.0177,9.8444,-11.8222
44.195,1305.5028,9.9443,-11.9049
44.245,1299.1291,10.0444,-11.946
44.295,1307.0313,10.1446,-12.0086
44.345,1301.397,10.2442,-12.2305
44.395,1294.0162,10.3443,-12.3404
44.445,1304.5326,10.4447,-12.3539
44.495,1295.3298,10.5441,-12.464
44.545,1306.0551,10.6444,-12.4839
44.595,1296.4382,10.7441,-12.4582
44.645,1291.275,10.844,-12.6174
44.695,1301.3641,10.9443,-12.775
44.745,1288.0076,11.0442,-12.8466
44.795,1298.8693,11.1445,-12.8184
44.845,1293.9315,11.2442,-13.0405
44.895,1291.1276,11.3444,-13.177
44.945,1300.5635,11.4447,-13.1844
44.995,1291.4879,11.5444,-13.3297
45.045,1297.3874,11.6442,-13.4278
45.095,1293.804,11.744,-13.563
45.145,1289.5392,11.8442,-13.6424
45.195,1304.8339,11.9445,-13.7284
45.245,1293.9178,12.0443,-13.7974
45.295,1293.8617,12.1442,-14.0153
45.345,1306.772,12.2442,-13.9653
45.395,1289.0338,12.3444,-14.1747
45.445,1302.3809,12.4444,-14.3049
45.495,1295.0717,12.5439,-14.3932
45.545,1293.5364,12.6441,-14.6136
45.595,1302.3529,12.744,-14.4987
45.645,1292.7152,12.8444,-14.6918
45.695,1300.3851,12.9441,-14.9352
45.745,1294.2742,13.0441,-14.8841
45.795,1294.6208,13.1442,-15.0744
45.845,1307.6093,13.2446,-15.1836
45.895,1295.5556,13.3442,-15.2845
45.945,1299.3456,13.4442,-15.4236
