Time,Force,Rotation,Torque
(s),(mN),(deg),(N-mm)
45.004,366.5066,11.5044,-13.5652
45.054,369.3203,11.6042,-13.6012
45.104,371.9355,11.7043,-13.7951
45.154,373.8672,11.8039,-13.7086
45.204,366.9178,11.9039,-13.8251
45.254,370.6339,12.0041,-13.7896
45.304,369.4451,12.1039,-13.9086
45.354,372.2939,12.2039,-14.0708
45.404,375.0046,12.3041,-13.9858
45.454,373.0442,12.404,-13.9762
45.504,374.3107,12.5039,-14.1127
45.554,375.3123,12.6041,-14.0985
45.604,376.2754,12.7037,-14.199
45.654,372.8037,12.8035,-14.2592
45.704,375.8283,12.904,-14.167
45.754,380.3643,13.0039,-14.299
45.804,381.2141,13.1039,-14.2772
45.854,374.1814,13.2041,-14.2797
45.904,376.9685,13.304,-14.2934
45.954,380.3514,13.4038,-14.3365
46.004,383.9382,13.5039,-14.3468
46.054,386.386,13.6038,-14.3302
46.104,388.544,13.7038,-14.3079
46.154,383.2251,13.8038,-14.44
46.204,381.3765,13.9038,-14.4863
46.254,386.914,14.0038,-14.4636
46.304,386.9091,14.1038,-14.5532
46.354,386.4881,14.2038,-14.6496
46.404,390.4594,14.3036,-14.7117
46.454,387.0935,14.4035,-14.635
46.504,386.189,14.5037,-14.7167
46.554,384.2127,14.6035,-14.7866
46.604,380.8087,14.7037,-14.8406
46.654,383.5771,14.8035,-14.7409
46.704,387.3858,14.9035,-14.904
46.754,385.1523,15.004,-14.8521
46.804,383.2484,15.1037,-14.9535
46.854,383.2923,15.2036,-14.9717
46.904,382.0653,15.3036,-15.0079
46.954,379.9236,15.4035,-15.0218
47.004,382.1738,15.5033,-15.0405
47.054,385.2403,15.6037,-15.0875
47.104,382.7663,15.7035,-15.1422
47.154,383.1923,15.8035,-15.126
47.204,382.6781,15.9035,-15.1829
47.254,383.5101,16.0035,-15.3121
47.304,388.0146,16.1035,-15.2363
47.354,384.4575,16.2029,-15.2978
47.404,385.5484,16.3035,-15.3043
47.454,384.0106,16.4034,-15.3933
47.504,385.0066,16.5036,-15.3076
47.554,384.1481,16.6036,-15.458
47.604,390.6722,16.7034,-15.5152
47.654,393.2956,16.8038,-15.6687
47.704,392.875,16.9034,-15.4079
47.754,394.6186,17.0033,-15.5059
47.804,393.3719,17.1036,-15.6081
47.854,393.4591,17.2032,-15.7157
47.904,395.8611,17.3034,-15.6621
47.954,399.874,17.4035,-15.7965
48.004,402.2243,17.5032,-15.8706
48.054,401.0776,17.6033,-15.9317
48.104,398.7657,17.7032,-15.802
48.154,397.4168,17.8033,-15.9262
48.204,403.3949,17.9033,-16.0829
48.254,403.8687,18.0028,-16.0435
48.304,405.2545,18.1032,-16.0884
48.354,404.5798,18.2034,-16.0639
48.404,404.5543,18.3031,-16.1472
48.454,407.1728,18.4033,-16.1662
48.504,403.574,18.5034,-16.1393
48.554,407.6169,18.6031,-16.2628
48.604,404.4227,18.7035,-16.3357
48.654,405.0527,18.8031,-16.3314
48.704,401.4811,18.9032,-16.4325
48.754,406.1948,19.003,-16.3812
48.804,410.9928,19.1031,-16.4446
48.854,415.0357,19.2033,-16.4779
48.904,415.8732,19.3032,-16.5275
48.954,411.6068,19.4031,-16.5402
49.004,411.6766,19.5031,-16.5811
49.054,413.9552,19.6033,-16.642
49.104,412.8951,19.7032,-16.6631
49.154,418.6678,19.8028,-16.6951
49.204,417.87,19.9029,-16.7028
49.254,418.9884,20.0032,-16.7735
49.304,418.7892,20.1031,-16.7322
49.354,418.9191,20.2029,-16.77
49.404,416.0984,20.3032,-16.9064
49.454,425.2878,20.4036,-16.9655
49.504,419.0768,20.5032,-17.077
49.554,418.6736,20.6029,-17.0125
49.604,417.8118,20.703,-17.1559
49.654,417.0169,20.8029,-17.0189
49.704,418.5656,20.9029,-17.028
49.754,420.9315,21.0029,-16.8995
49.804,418.9442,21.103,-17.0976
49.854,422.5858,21.203,-17.0847
49.904,420.6608,21.3031,-17.1504
49.954,416.5247,21.4031,-17.2214
50.004,423.0034,21.5029,-17.2913
50.054,422.3286,21.6028,-17.2419
50.104,426.177,21.7029,-17.1667
50.154,426.8728,21.8029,-17.3633
50.204,420.8367,21.9031,-17.3178
50.254,419.5639,22.0029,-17.4386
50.304,421.9366,22.1029,-17.4144
50.354,428.0825,22.2034,-17.3183
50.404,429.5373,22.3031,-17.3561
50.454,430.2329,22.403,-17.5447
50.504,428.1904,22.5031,-17.6546
50.554,429.5009,22.603,-17.6581
50.604,429.0941,22.7028,-17.5658
50.654,433.0648,22.8032,-17.6353
50.704,432.699,22.903,-17.6476
50.754,440.6165,23.003,-17.8089
50.804,441.8353,23.1029,-17.7255
50.854,434.3732,23.2032,-17.8032
50.904,435.6769,23.303,-17.9509
50.954,437.5006,23.4026,-17.844
51.004,437.5513,23.5029,-17.8104
51.054,441.2127,23.6028,-17.9608
51.104,436.3782,23.7028,-18.0411
51.154,439.8437,23.8029,-18.0532
51.204,442.1329,23.9027,-17.9667
51.254,440.9412,24.0032,-17.9887
51.304,440.5897,24.1028,-18.0976
51.354,447.4031,24.2027,-18.1507
51.404,447.1625,24.3029,-18.2055
51.454,447.7402,24.4028,-18.3088
51.504,445.203,24.5028,-18.3005
51.554,444.7679,24.603,-18.2712
51.604,443.7982,24.7027,-18.3095
51.654,449.6024,24.8027,-18.2905
51.704,450.4264,24.9027,-18.3614
51.754,442.3886,25.0029,-18.4441
51.804,446.2954,25.1027,-18.4951
51.854,444.7174,25.2025,-18.5916
51.904,442.0534,25.3028,-18.592
51.954,449.6418,25.4027,-18.5794
52.004,444.9265,25.5029,-18.7692
52.054,449.325,25.6028,-18.7433
52.104,440.2506,25.7027,-18.7828
52.154,444.7874,25.8029,-18.7989
52.204,444.5616,25.903,-18.7865
52.254,450.5602,26.0027,-18.9202
52.304,455.4813,26.1027,-18.9427
52.354,452.1917,26.2028,-19.0381
52.404,451.6285,26.3025,-19.003
52.454,451.4341,26.4029,-19.1175
52.504,449.0543,26.5028,-19.1474
52.554,456.6418,26.6028,-19.2678
52.604,455.5086,26.7026,-19.2652
52.654,457.0464,26.8028,-19.3151
52.704,452.5881,26.9029,-19.3251
52.754,447.8377,27.0022,-19.3696
52.804,448.0454,27.1027,-19.4503
52.854,449.5764,27.2026,-19.5004
52.904,452.5327,27.3027,-19.5056
52.954,452.9935,27.4027,-19.6356
53.004,454.7177,27.5027,-19.5122
53.054,448.9712,27.6031,-19.6444
53.104,450.1257,27.7027,-19.6361
53.154,451.4683,27.8025,-19.762
53.204,457.981,27.9027,-19.777
53.254,455.9629,28.0025,-19.8381
53.304,454.1375,28.1024,-19.8076
53.354,453.9698,28.2025,-19.878
53.404,453.5485,28.3025,-20.061
53.454,452.779,28.4025,-19.9695
53.504,447.437,28.5025,-20.0914
53.554,454.0611,28.6025,-20.122
53.604,451.4864,28.7024,-20.1035
53.654,448.8332,28.8023,-20.0991
53.704,445.7729,28.9025,-20.1315
53.754,450.2756,29.0022,-20.2608
53.804,450.7713,29.1026,-20.3697
53.854,446.7852,29.2025,-20.2988
53.904,449.0426,29.3025,-20.3585
53.954,446.1793,29.403,-20.4299
54.004,446.8419,29.5026,-20.5152
54.054,446.5722,29.6024,-20.4353
54.104,449.8861,29.7025,-20.4633
54.154,453.3598,29.8023,-20.6746
54.204,448.6779,29.9022,-20.7238
54.254,448.3995,30.0024,-20.738
54.304,449.3629,30.1024,-20.7587
54.336,449.562,30.1664,-20.7371
54.337,449.2453,30.1684,-20.7408
78.687,317.4364,0.5616,-8.6094
78.737,317.0671,0.5628,-8.6534
78.787,322.7632,0.6399,-8.7756
78.837,323.6929,0.7426,-9.003
78.887,317.9874,0.8424,-8.9966
78.937,318.7841,0.9425,-9.044
78.987,320.8221,1.0423,-9.0765
79.037,325.9489,1.1425,-9.1751
79.087,325.7534,1.2424,-9.2356
79.137,329.8824,1.3423,-9.2509
79.187,330.1119,1.4424,-9.2668
79.237,331.5221,1.5424,-9.3327
79.287,329.1583,1.6425,-9.4271
79.337,325.0777,1.7424,-9.4768
79.387,334.0665,1.8421,-9.4905
79.437,333.7294,1.9423,-9.6131
79.487,331.278,2.0424,-9.5483
79.537,333.0792,2.1426,-9.6666
79.587,329.9735,2.2423,-9.6635
79.637,329.6133,2.3422,-9.7566
79.687,333.8039,2.4431,-9.7881
79.737,335.9081,2.5424,-9.7592
79.787,336.0184,2.6425,-9.878
79.837,329.6356,2.7423,-9.7806
79.887,329.4424,2.8423,-9.9528
79.937,330.1222,2.9426,-9.8855
79.987,331.7344,3.0423,-9.9722
80.037,334.6097,3.1422,-10.0238
80.087,336.9016,3.2423,-10.1034
80.137,334.8749,3.3424,-10.088
80.187,333.918,3.4424,-10.1005
