Time,Displacement,Force,Rotation,Torque
6.86,1.6502,0.0002,6.7122,0.00088
6.88,1.6502,0.0002,6.7295,0.00089
6.9,1.6502,0.0002,6.7469,0.0009
6.92,1.6502,0.0002,6.7649,0.00089
6.94,1.6502,0.0002,6.7833,0.00089
6.96,1.6502,0.0002,6.8023,0.0009
6.98,1.6502,0.0002,6.8218,0.00092
7,1.6502,0.0002,6.8419,0.00092
7.02,1.6502,0.0002,6.8628,0.00091
7.04,1.6502,0.0002,6.8846,0.0009
7.06,1.6502,0.0002,6.9067,0.00091
7.08,1.6502,0.0002,6.9289,0.00093
7.1,1.6502,0.0002,6.9503,0.00093
7.12,1.6502,0.0002,6.9704,0.00092
7.14,1.6502,0.0002,6.9904,0.00092
7.16,1.6502,0.0002,7.0118,0.00092
7.18,1.6502,0.0002,7.0333,0.00093
7.2,1.6502,0.0002,7.0533,0.00094
7.22,1.6502,0.0002,7.0719,0.00094
7.24,1.6502,0.0002,7.09,0.00094
7.26,1.6502,0.0002,7.1074,0.00094
7.28,1.6502,0.0002,7.1249,0.00094
7.3,1.6502,0.0002,7.1432,0.00093
7.32,1.6502,0.0002,7.1621,0.00093
7.34,1.6502,0.0002,7.1812,0.00094
7.36,1.6502,0.0002,7.2012,0.00093
7.38,1.6502,0.0002,7.2223,0.00093
7.4,1.6502,0.0002,7.244,0.00093
7.42,1.6502,0.0002,7.2664,0.00093
7.44,1.6502,0.0002,7.289,0.00094
7.46,1.6502,0.0002,7.3114,0.00095
7.48,1.6502,0.0002,7.3329,0.00095
7.5,1.6502,0.0002,7.3535,0.00095
7.52,1.6502,0.0002,7.374,0.00094
7.54,1.6502,0.0002,7.3948,0.00094
7.56,1.6502,0.0002,7.4156,0.00095
7.58,1.6502,0.0002,7.4356,0.00096
7.6,1.6502,0.0002,7.4544,0.00094
7.62,1.6502,0.0002,7.4719,0.00094
7.64,1.6502,0.0002,7.4889,0.00095
7.66,1.6502,0.0002,7.5063,0.00096
7.68,1.6502,0.0002,7.5244,0.00095
7.7,1.6502,0.0002,7.5432,0.00094
7.72,1.6502,0.0002,7.5622,0.00094
7.74,1.6502,0.0002,7.5816,0.00094
7.76,1.6502,0.0002,7.6018,0.00093
7.78,1.6502,0.0002,7.6228,0.00095
7.8,1.6502,0.0002,7.6445,0.00095
7.82,1.6502,0.0002,7.6665,0.00095
7.84,1.6502,0.0002,7.6883,0.00094
7.86,1.6502,0.0002,7.7097,0.00095
7.88,1.6502,0.0002,7.7307,0.00097
7.9,1.6502,0.0002,7.7517,0.00097
7.92,1.6502,0.0002,7.7724,0.00097
7.94,1.6502,0.0002,7.7928,0.00096
7.96,1.6502,0.0002,7.8126,0.00095
7.98,1.6502,0.0002,7.8311,0.00096
8,1.6502,0.0002,7.8486,0.00095
8.02,1.6502,0.0002,7.8658,0.00094
8.04,1.6502,0.0002,7.8833,0.00096
8.06,1.6502,0.0002,7.9017,0.00097
8.08,1.6502,0.0002,7.9208,0.00096
8.1,1.6502,0.0002,7.9402,0.00096
8.12,1.6502,0.0002,7.96,0.00096
8.14,1.6502,0.0002,7.9812,0.00096
8.16,1.6502,0.0002,8.004,0.00097
8.18,1.6502,0.0002,8.0267,0.00097
8.2,1.6502,0.0002,8.0495,0.00097
8.22,1.6502,0.0002,8.0725,0.00098
8.24,1.6502,0.0002,8.0944,0.00098
8.26,1.6502,0.0002,8.1149,0.00098
8.28,1.6502,0.0002,8.135,0.00098
8.3,1.6502,0.0002,8.1555,0.00097
8.32,1.6502,0.0002,8.1761,0.00097
8.34,1.6502,0.0002,8.1956,0.00097
8.36,1.6502,0.0002,8.2137,0.00097
8.38,1.6502,0.0002,8.2307,0.00096
8.4,1.6502,0.0002,8.2477,0.00096
8.42,1.6502,0.0002,8.2653,0.00097
8.44,1.6502,0.0002,8.2835,0.00097
8.46,1.6502,0.0002,8.3025,0.00097
8.48,1.6502,0.0002,8.322,0.00098
8.5,1.6502,0.0002,8.3419,0.00098
8.52,1.6502,0.0002,8.3628,0.00098
8.54,1.6502,0.0002,8.3846,0.00097
8.56,1.6502,0.0002,8.4066,0.00098
8.58,1.6502,0.0002,8.4283,0.00099
8.6,1.6502,0.0002,8.4496,0.00099
8.62,1.6502,0.0002,8.4706,0.00099
8.64,1.6502,0.0002,8.4914,0.00099
8.66,1.6502,0.0002,8.5126,0.00099
8.68,1.6502,0.0002,8.5337,0.001
8.7,1.6502,0.0002,8.554,0.00099
8.72,1.6502,0.0002,8.5728,0.00099
8.74,1.6502,0.0002,8.5905,0.00097
8.76,1.6502,0.0002,8.608,0.00097
8.78,1.6502,0.0002,8.6256,0.00098
8.8,1.6502,0.0002,8.6435,0.00098
8.82,1.6502,0.0002,8.6621,0.00097
8.84,1.6502,0.0002,8.6813,0.00099
8.86,1.6502,0.0002,8.7007,0.00101
8.88,1.6502,0.0002,8.7212,0.001
8.9,1.6502,0.0002,8.743,0.00101
8.92,1.6502,0.0002,8.7653,0.00101
8.94,1.6502,0.0002,8.7877,0.001
8.96,1.6502,0.0002,8.8095,0.00099
8.98,1.6502,0.0002,8.831,0.00102
9,1.6502,0.0002,8.8525,0.00102
9.02,1.6502,0.0002,8.8736,0.00103
9.04,1.6502,0.0002,8.894,0.00101
9.06,1.6502,0.0002,8.9147,0.00101
9.08,1.6502,0.0002,8.9358,0.00101
9.1,1.6502,0.0002,8.9555,0.00102
9.12,1.6502,0.0002,8.9732,0.001
9.14,1.6502,0.0002,8.9898,0.00099
9.16,1.6502,0.0002,9.0065,0.00099
9.18,1.6502,0.0002,9.024,0.00101
9.2,1.6502,0.0002,9.0425,0.00102
9.22,1.6502,0.0002,9.0621,0.00102
9.24,1.6502,0.0002,9.0821,0.00102
9.26,1.6502,0.0002,9.1024,0.00099
9.28,1.6502,0.0002,9.1235,0.001
9.3,1.6502,0.0002,9.1455,0.00101
9.32,1.6502,0.0002,9.1679,0.00101
9.34,1.6502,0.0002,9.1897,0.00101
9.36,1.6502,0.0002,9.2109,0.00101
9.38,1.6502,0.0002,9.2319,0.001
9.4,1.6502,0.0002,9.2528,0.00101
9.42,1.6502,0.0002,9.2736,0.00101
9.44,1.6502,0.0002,9.294,0.00102
9.46,1.6502,0.0002,9.3136,0.00101
9.48,1.6502,0.0002,9.3322,0.001
9.5,1.6502,0.0002,9.3499,0.001
9.52,1.6502,0.0002,9.367,0.001
9.54,1.6502,0.0002,9.3846,0.00101
9.56,1.6502,0.0002,9.4028,0.00102
9.58,1.6502,0.0002,9.4218,0.00102
9.6,1.6502,0.0002,9.4415,0.00102
9.62,1.6502,0.0002,9.4619,0.00103
9.64,1.6502,0.0002,9.483,0.00104
9.66,1.6502,0.0002,9.5052,0.00103
9.68,1.6502,0.0002,9.5278,0.00103
9.7,1.6502,0.0002,9.5502,0.00102
9.72,1.6502,0.0002,9.5722,0.00101
9.74,1.6502,0.0002,9.5938,0.00102
9.76,1.6502,0.0002,9.6146,0.00103
9.78,1.6502,0.0002,9.6352,0.00102
9.8,1.6502,0.0002,9.656,0.00101
9.82,1.6502,0.0002,9.6764,0.001
9.84,1.6502,0.0002,9.696,0.00101
9.86,1.6502,0.0002,9.7147,0.00101
9.88,1.6502,0.0002,9.7321,0.00101
9.9,1.6502,0.0002,9.7489,0.00102
9.92,1.6502,0.0002,9.7665,0.00101
9.94,1.6502,0.0002,9.7859,0.00101
9.96,1.6502,0.0002,9.8055,0.00101
9.98,1.6502,0.0002,9.8248,0.00101
10,1.6502,0.0002,9.8445,0.00101
10.02,1.6502,0.0002,9.865,0.00103
10.04,1.6502,0.0002,9.8865,0.00105
10.06,1.6502,0.0002,9.9081,0.00104
10.08,1.6502,0.0002,9.9293,0.00103
10.1,1.6502,0.0002,9.9506,0.00103
10.12,1.6502,0.0002,9.9718,0.00104
10.14,1.6502,0.0002,9.9926,0.00104
10.16,1.6502,0.0002,10.0134,0.00104
10.18,1.6502,0.0002,10.0339,0.00103
10.2,1.6502,0.0002,10.0536,0.00104
10.22,1.6502,0.0002,10.0725,0.00103
10.24,1.6502,0.0002,10.0907,0.00104
10.26,1.6502,0.0002,10.1081,0.00104
10.28,1.6502,0.0002,10.1256,0.00104
10.3,1.6502,0.0002,10.1435,0.00104
10.32,1.6502,0.0002,10.1621,0.00104
10.34,1.6502,0.0002,10.1813,0.00103
10.36,1.6502,0.0002,10.2012,0.00105
10.38,1.6502,0.0002,10.2219,0.00105
10.4,1.6502,0.0002,10.2437,0.00104
10.42,1.6502,0.0002,10.2663,0.00105
10.44,1.6502,0.0002,10.289,0.00105
10.46,1.6502,0.0002,10.3115,0.00104
10.48,1.6502,0.0002,10.3335,0.00104
10.5,1.6502,0.0002,10.3546,0.00105
10.52,1.6502,0.0002,10.3751,0.00106
10.54,1.6502,0.0002,10.3956,0.00107
10.56,1.6502,0.0002,10.4163,0.00107
10.58,1.6502,0.0002,10.4364,0.00105
10.6,1.6502,0.0002,10.4552,0.00103
10.62,1.6502,0.0002,10.4729,0.00103
10.64,1.6502,0.0002,10.4899,0.00103
10.66,1.6502,0.0002,10.5074,0.00104
10.68,1.6502,0.0002,10.5253,0.00104
10.7,1.6502,0.0002,10.5436,0.00106
10.72,1.6502,0.0002,10.5631,0.00106
10.74,1.6502,0.0002,10.5834,0.00106
10.76,1.6502,0.0002,10.6037,0.00105
10.78,1.6502,0.0002,10.625,0.00106
10.8,1.6502,0.0002,10.6478,0.00108
10.82,1.6502,0.0002,10.6705,0.00106
10.84,1.6502,0.0002,10.6921,0.00107
10.86,1.6502,0.0002,10.7129,0.00106
10.88,1.6502,0.0002,10.7335,0.00106
10.9,1.6502,0.0002,10.7542,0.00105
10.92,1.6502,0.0002,10.7747,0.00105
10.94,1.6502,0.0002,10.7948,0.00106
10.96,1.6502,0.0002,10.8144,0.00107
10.98,1.6502,0.0002,10.8329,0.00107
11,1.6502,0.0002,10.8505,0.00106
11.02,1.6502,0.0002,10.8677,0.00106
11.04,1.6502,0.0002,10.8852,0.00105
11.06,1.6502,0.0002,10.9033,0.00105
11.08,1.6502,0.0002,10.9219,0.00106
11.1,1.6502,0.0002,10.9414,0.00106
11.12,1.6502,0.0002,10.9615,0.00107
11.14,1.6502,0.0002,10.9824,0.00109
11.16,1.6502,0.0002,11.0042,0.00107
11.18,1.6502,0.0002,11.0262,0.00105
11.2,1.6502,0.0002,11.0483,0.00105
11.22,1.6502,0.0002,11.0702,0.00107
11.24,1.6502,0.0002,11.0916,0.00108
11.26,1.6502,0.0002,11.1126,0.00108
11.28,1.6502,0.0002,11.1334,0.00106
11.3,1.6502,0.0002,11.1542,0.00106
11.32,1.6502,0.0002,11.1746,0.00105
11.34,1.6502,0.0002,11.1941,0.00105
11.36,1.6502,0.0002,11.2125,0.00107
11.38,1.6502,0.0002,11.2301,0.00106
11.4,1.6502,0.0002,11.2477,0.00107
11.42,1.6502,0.0002,11.2654,0.00107
11.44,1.6502,0.0002,11.2834,0.00107
11.46,1.6502,0.0002,11.3023,0.00107
11.48,1.6502,0.0002,11.322,0.00109
11.5,1.6502,0.0002,11.3421,0.00108
11.52,1.6502,0.0002,11.363,0.00108
11.54,1.6502,0.0002,11.3844,0.00109
11.56,1.6502,0.0002,11.4062,0.0011
11.58,1.6502,0.0002,11.4286,0.00109
11.6,1.6502,0.0002,11.4504,0.00108
